"lat","lon","vehicle_capacity"
"35.7342221","139.7666733","7"
"35.7449239","139.785543","4"
"35.7286689","139.8084739","5"
"35.7370291","139.8082687","10"
"35.784701","139.620684","3"
"35.784568","139.621426","3"
"35.786836","139.604291","5"
"35.786362","139.615289","4"
"35.786804","139.616133","3"
"35.784296","139.615961","4"
"35.7711562","139.6091713","4"
"35.56638285","139.6443515","8"
"35.564109","139.6884","16"
"35.595844442456","139.60221921381","3"
"35.7918886","139.7954293","6"
"35.7096955","139.794751","3"
"35.6751237","139.6135132","5"
"35.5521973","139.6867854","6"
"35.7832755","139.710249","10"
"35.7779596","139.6353165","4"
"35.5620767","139.560489","5"
"35.6790979","139.6855037","9"
"35.6737775","139.6657401","4"
